Date,Subway Residual,Buses Residual,LIRR Residual
2023-04-18,66454.74507120997,58458.7086783601,-4284.771442474768
2023-04-19,137181.34880626854,103319.86878354615,1236.6006623822905
2023-04-20,176217.42736643227,91438.56833165884,3797.579721541406
2023-04-21,72596.822530468,34050.892204272095,1998.1832460518344
2023-04-22,180143.9039679435,61843.05493320525,5877.473166191427
2023-04-23,168339.93810941512,54090.691505191615,999.624330126855
2023-04-24,234521.2094082199,99925.41682294337,6983.655057115364
2023-04-25,238576.3993451097,82313.40387738845,5224.272880538658
2023-04-26,206415.830190395,95010.08976483485,2691.480168250535
2023-04-27,207917.6481496673,86054.53421751759,6408.615029955981
2023-04-28,133866.3231667569,63172.26609345758,1408.2248429963074
2023-04-29,-159184.34675304778,-98750.9359094901,-9950.356923766318
2023-04-30,-1285.4632611428387,-25161.134377972456,-7449.106464803626
2023-05-01,282325.4986879183,96688.36720186146,2281.799056118034
2023-05-02,121165.86734647118,37888.83163471334,4157.549902323022
2023-05-03,62013.79603397939,19928.292005591094,-471.2576433841605
2023-05-04,51598.5584723535,21773.757056521717,1042.147057865921
2023-05-05,125284.21355826408,49221.69934747508,2935.8699417697208
2023-05-06,206048.53949759295,101851.70314603113,10795.83643485597
2023-05-07,70797.11409039516,29158.42514440627,139.76865457708482
2023-05-08,119380.28874158626,61065.64572508517,7037.622123667359
2023-05-09,-3101.417836344801,7508.392752532614,-134.31008443632163
2023-05-10,27063.779419462197,11114.99591707834,2562.2465894299967
2023-05-11,103937.0859952271,68229.80333018652,2651.5621318204794
2023-05-12,62608.70460315095,33014.860101525905,-640.7835453693115
2023-05-13,165069.83177149855,98826.38868148834,3444.5383610669815
2023-05-14,-144615.76049679657,-14059.008034496801,-7011.941224362003
2023-05-15,111577.51111055259,67562.38159063389,8405.609651678475
2023-05-16,30324.98405511817,27967.91829425539,2412.354082599515
2023-05-17,49957.74894208275,19089.876096057706,3317.234844233957
2023-05-18,90164.22254194599,27575.3722630064,3978.373903236672
2023-05-19,75449.7288880623,62246.854179461254,3875.7085159756243
2023-05-20,-89597.9129242273,-60149.25858929125,-6990.539063489996
2023-05-21,-72301.92940126592,-22010.248555318918,-7692.886302904633
2023-05-22,208131.86273109727,92862.55636908277,14610.733222565177
2023-05-23,-42121.01372257294,-24555.911502436036,-9444.489093512268
2023-05-24,65458.96962086903,22577.374162004562,-2586.5167502803088
